doi,pmcid,ncbi_pdf_url,alt_pdf_url
https://doi.org/10.1371/journal.pntd.0009145,PMC7886168,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7886168/pdf/,
https://doi.org/10.7717/peerj.11966,PMC8711279,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8711279/pdf/,
https://doi.org/10.1371/journal.pone.0216392,PMC6502336,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6502336/pdf/,
https://doi.org/10.1371/journal.pone.0241494,PMC7644033,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7644033/pdf/,
https://doi.org/10.1021/ic502805h,PMC7441041,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7441041/pdf/,
https://doi.org/10.3390/biom10040549,PMC7226453,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7226453/pdf/,
https://doi.org/10.1371/journal.pone.0120469,PMC4359060,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4359060/pdf/,
https://doi.org/10.3390/ijms21030830,PMC7037363,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7037363/pdf/,
https://doi.org/10.1371/journal.pone.0134983,PMC4532461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4532461/pdf/,
https://doi.org/10.1186/s12934-016-0568-6,PMC5050587,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5050587/pdf/,
https://doi.org/10.3390/biomedicines10030527,PMC8945703,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8945703/pdf/,
https://doi.org/10.1186/s13065-019-0564-0,PMC6661967,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6661967/pdf/,
https://doi.org/10.3390/ijms22126193,PMC8227161,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8227161/pdf/,
https://doi.org/10.1186/1471-2164-6-165,PMC1325057,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1325057/pdf/,
https://doi.org/10.3389/fgene.2022.1097234,PMC9871489,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9871489/pdf/,
https://doi.org/10.1007/s00424-016-1819-4,PMC4893068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4893068/pdf/,
https://doi.org/10.1371/journal.pone.0017429,PMC3045450,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045450/pdf/,
https://doi.org/10.1038/s41598-018-33459-y,PMC6200780,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6200780/pdf/,
https://doi.org/10.1093/nar/gkr252,PMC3159445,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3159445/pdf/,
https://doi.org/10.1038/ncomms5340,PMC4104456,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4104456/pdf/,
https://doi.org/10.1002/advs.202001100,PMC7927627,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7927627/pdf/,
https://doi.org/10.1042/BJ20141371,PMC4687092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4687092/pdf/,
https://doi.org/10.1038/tpj.2013.4,PMC3766418,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3766418/pdf/,
https://doi.org/10.1186/s12916-018-1083-x,PMC5994653,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994653/pdf/,
https://doi.org/10.1007/s12602-020-09727-7,PMC7680993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7680993/pdf/,
https://doi.org/10.1016/j.ijppaw.2015.11.003,PMC4840268,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4840268/pdf/,
https://doi.org/10.1038/s41467-020-18069-5,PMC7468133,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7468133/pdf/,
https://doi.org/10.1177/11769351231159893,PMC10052604,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10052604/pdf/,
https://doi.org/10.1371/journal.pone.0273746,PMC9595533,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9595533/pdf/,
https://doi.org/10.1038/s41598-022-19523-8,PMC9464227,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9464227/pdf/,
https://doi.org/10.3390/cancers14122986,PMC9221385,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9221385/pdf/,
https://doi.org/10.3389/fpls.2023.1118363,PMC10102601,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10102601/pdf/,
https://doi.org/10.1186/s12918-016-0330-z,PMC5006508,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5006508/pdf/,
https://doi.org/10.7717/peerj.1763,PMC4793324,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4793324/pdf/,
https://doi.org/10.1002/jia2.25330,PMC6595706,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6595706/pdf/,
https://doi.org/10.3390/ijms23020906,PMC8776182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8776182/pdf/,
https://doi.org/10.1186/2047-217x-2-4,PMC3637469,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3637469/pdf/,
https://doi.org/10.1002/ctm2.503,PMC8382979,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8382979/pdf/,
https://doi.org/10.3390/s22218321,PMC9653791,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9653791/pdf/,
https://doi.org/10.3390/jcm7060140,PMC6025572,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6025572/pdf/,
https://doi.org/10.3389/fmicb.2022.923435,PMC9290438,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9290438/pdf/,
https://doi.org/10.1038/s41598-020-58150-z,PMC6994471,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6994471/pdf/,
https://doi.org/10.1371/journal.pone.0128333,PMC4470922,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4470922/pdf/,
https://doi.org/10.3114/fuse.2020.05.13,PMC7250166,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250166/pdf/,
https://doi.org/10.3389/fcvm.2022.841032,PMC8977850,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977850/pdf/,
https://doi.org/10.1111/cts.13269,PMC9199889,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9199889/pdf/,
https://doi.org/10.3390/dj11010007,PMC9857865,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9857865/pdf/,
https://doi.org/10.1016/j.bioactmat.2022.04.011,PMC9048124,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9048124/pdf/,
https://doi.org/10.18632/oncotarget.5543,PMC4742202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4742202/pdf/,
https://doi.org/10.1371/journal.ppat.1004891,PMC4423922,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4423922/pdf/,
https://doi.org/10.1136/bmjopen-2017-020222,PMC6196876,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6196876/pdf/,
https://doi.org/10.3390/foods11081170,PMC9028580,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9028580/pdf/,
https://doi.org/10.1016/j.bbrc.2020.04.010,PMC7144854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144854/pdf/,
https://doi.org/10.1186/1471-2148-9-86,PMC2685390,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2685390/pdf/,
https://doi.org/10.3389/fmicb.2018.00853,PMC5943511,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5943511/pdf/,
https://doi.org/10.3389/fmicb.2020.02038,PMC7480081,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7480081/pdf/,
https://doi.org/10.3389/fcell.2021.744932,PMC8712737,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8712737/pdf/,
https://doi.org/10.1016/j.cogsc.2020.100369,PMC7276142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276142/pdf/,
https://doi.org/10.1371/journal.pone.0047989,PMC3479135,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3479135/pdf/,
https://doi.org/10.5607/en.2013.22.1.38,PMC3620457,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3620457/pdf/,
https://doi.org/10.1093/dnares/dsy024,PMC6191305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191305/pdf/,
https://doi.org/10.3114/fuse.2020.06.01,PMC7451779,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451779/pdf/,
https://doi.org/10.3897/zookeys.873.36702,PMC6728343,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6728343/pdf/,
https://doi.org/10.1002/chem.202103234,PMC9298076,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9298076/pdf/,
https://doi.org/10.1370/afm.819,PMC2267421,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2267421/pdf/,
https://doi.org/10.1002/joa3.12639,PMC8637085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8637085/pdf/,
https://doi.org/10.1093/nar/gkq627,PMC2995053,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2995053/pdf/,
https://doi.org/10.1101/gr.233775.117,PMC6028126,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6028126/pdf/,
https://doi.org/10.1038/s41598-019-47871-5,PMC6691000,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6691000/pdf/,
https://doi.org/10.1002/hep.31216,PMC7891670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7891670/pdf/,
https://doi.org/10.1016/j.dib.2018.08.098,PMC6143725,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6143725/pdf/,
https://doi.org/10.1016/j.ebiom.2016.03.022,PMC4909365,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909365/pdf/,
